,get_sentiment,lower_upper_ratio,awl,unique_words_per_total_words,punctuation_frequency,n_grams,pos_tagger,k,mean rank,mean cosine similarity,accuracy
0,False,False,False,False,False,[3],False,3000,2.0,0.9292552670028865,0.6875
1,False,False,False,False,True,[3],False,3000,2.0,0.9292552670028865,0.6875
2,False,False,False,True,False,[3],False,3000,2.0,0.9290075582110393,0.6875
3,False,False,False,True,True,[3],False,3000,2.0,0.9290075582110393,0.6875
4,False,False,True,False,False,[3],False,3000,2.0,0.9202170105790737,0.6875
5,False,False,True,False,True,[3],False,3000,2.0,0.9202170105790737,0.6875
6,False,False,True,True,False,[3],False,3000,2.0,0.9199814846570722,0.6875
7,False,False,True,True,True,[3],False,3000,2.0,0.9199814846570722,0.6875
8,False,False,True,False,False,[3],False,5000,2.0,0.9183276090699658,0.6875
9,False,False,True,False,True,[3],False,5000,2.0,0.9183276090699658,0.6875
10,False,False,True,True,False,[3],False,5000,2.0,0.9180936036471969,0.6875
11,False,False,True,True,True,[3],False,5000,2.0,0.9180936036471969,0.6875
12,False,False,True,False,False,[3],False,all,2.0625,0.9080499657946234,0.625
13,False,False,False,False,False,[3],False,5000,2.0625,0.927294851699958,0.6875
14,False,False,False,False,True,[3],False,5000,2.0625,0.927294851699958,0.6875
15,False,False,False,True,False,[3],False,5000,2.0625,0.9270632716500418,0.6875
16,False,False,False,True,True,[3],False,5000,2.0625,0.9270632716500418,0.6875
17,False,False,False,False,False,[2],False,all,2.0625,0.9142870704054846,0.6875
18,False,False,False,True,False,[2],False,all,2.0625,0.9140524127717018,0.6875
19,False,False,True,False,False,[2],False,all,2.0625,0.9056535389623632,0.6875
20,False,False,True,True,False,[2],False,all,2.0625,0.9054302846765916,0.6875
21,False,False,False,False,True,[2],False,all,2.0625,0.8592228358267426,0.6875
22,False,False,False,True,True,[2],False,all,2.0625,0.8590561211912427,0.6875
23,False,False,False,False,False,[3],False,all,2.125,0.9167921769382825,0.625
24,False,False,False,True,False,[3],False,all,2.125,0.9165535814752425,0.625
25,False,False,True,True,False,[3],False,all,2.125,0.907823012372492,0.625
26,False,False,True,False,True,[3],False,all,2.125,0.8544835823515535,0.625
27,False,False,True,True,True,[3],False,all,2.125,0.8543217520197242,0.625
28,False,False,True,False,True,[2],False,all,2.125,0.8527089331104649,0.625
29,False,False,True,True,True,[2],False,all,2.125,0.8525495495575427,0.625
30,False,False,False,False,True,[3],False,all,2.1875,0.8610692068286144,0.5625
31,False,False,False,True,True,[3],False,all,2.1875,0.8608999119144047,0.5625
32,False,False,False,False,False,[2],False,3000,2.1875,0.9288861091088753,0.6875
33,False,False,False,False,True,[2],False,3000,2.1875,0.9288861091088753,0.6875
34,False,False,True,False,False,[2],False,3000,2.1875,0.9198560741409179,0.6875
35,False,False,True,False,True,[2],False,3000,2.1875,0.9198560741409179,0.6875
36,False,False,True,True,False,[2],False,3000,2.1875,0.9196209957774684,0.6875
37,False,False,True,True,True,[2],False,3000,2.1875,0.9196209957774684,0.6875
38,False,False,False,False,False,False,False,all,2.25,0.942748833216101,0.625
39,False,False,False,False,False,False,False,5000,2.25,0.942748833216101,0.625
40,False,False,False,True,False,False,False,all,2.25,0.9424839284062136,0.625
41,False,False,False,True,False,False,False,5000,2.25,0.9424839284062136,0.625
42,False,False,True,False,False,False,False,all,2.25,0.9332012085116655,0.625
43,False,False,True,False,False,False,False,5000,2.25,0.9332012085116655,0.625
44,False,False,True,True,False,False,False,all,2.25,0.9329496497645573,0.625
45,False,False,True,True,False,False,False,5000,2.25,0.9329496497645573,0.625
46,False,False,False,True,False,[2],False,3000,2.25,0.9286388410661771,0.6875
47,False,False,False,True,True,[2],False,3000,2.25,0.9286388410661771,0.6875
48,False,False,False,False,False,False,False,3000,2.3125,0.9435395014172221,0.625
49,False,False,False,False,True,False,False,3000,2.3125,0.9435395014172221,0.625
50,False,False,False,True,False,False,False,3000,2.3125,0.9432746377991621,0.625
51,False,False,False,True,True,False,False,3000,2.3125,0.9432746377991621,0.625
52,False,False,True,False,False,False,False,3000,2.3125,0.9339690748086239,0.625
53,False,False,True,False,True,False,False,3000,2.3125,0.9339690748086239,0.625
54,False,False,True,True,False,False,False,3000,2.3125,0.9337169613794669,0.625
55,False,False,True,True,True,False,False,3000,2.3125,0.9337169613794669,0.625
56,False,False,False,False,False,[2],False,5000,2.3125,0.9252052384165957,0.6875
57,False,False,False,False,True,[2],False,5000,2.3125,0.9252052384165957,0.6875
58,False,False,False,True,False,[2],False,5000,2.3125,0.9249614919237542,0.6875
59,False,False,False,True,True,[2],False,5000,2.3125,0.9249614919237542,0.6875
60,False,False,True,False,False,[2],False,5000,2.3125,0.916288332000356,0.6875
61,False,False,True,False,True,[2],False,5000,2.3125,0.916288332000356,0.6875
