,get_sentiment,lower_upper_ratio,awl,unique_words_per_total_words,punctuation_frequency,n_grams,pos_tagger,k,mean rank,mean cosine similarity,accuracy
0,False,False,False,False,False,[5],False,2500,1.9375,0.9296221462683832,0.6875
1,False,False,False,False,True,[5],False,2500,1.9375,0.9296221462683832,0.6875
2,False,False,False,False,False,[5],False,2750,1.9375,0.9289024251989049,0.6875
3,False,False,False,False,True,[5],False,2750,1.9375,0.9289024251989049,0.6875
4,False,False,False,True,False,[5],False,2750,1.9375,0.9286852554623592,0.6875
5,False,False,False,True,True,[5],False,2750,1.9375,0.9286852554623592,0.6875
6,False,False,False,False,False,[5],False,3000,1.9375,0.9282161541749845,0.6875
7,False,False,False,False,True,[5],False,3000,1.9375,0.9282161541749845,0.6875
8,False,False,False,True,False,[5],False,3000,1.9375,0.9279695737070608,0.6875
9,False,False,False,True,True,[5],False,3000,1.9375,0.9279695737070608,0.6875
10,False,False,True,False,False,[5],False,2500,1.9375,0.9206047887106164,0.6875
11,False,False,True,False,True,[5],False,2500,1.9375,0.9206047887106164,0.6875
12,False,False,True,True,False,[5],False,2500,1.9375,0.9203689662723209,0.6875
13,False,False,True,True,True,[5],False,2500,1.9375,0.9203689662723209,0.6875
14,False,False,True,False,False,[5],False,2750,1.9375,0.919921988022069,0.6875
15,False,False,True,False,True,[5],False,2750,1.9375,0.919921988022069,0.6875
16,False,False,True,True,False,[5],False,2750,1.9375,0.9196868322685398,0.6875
17,False,False,True,True,True,[5],False,2750,1.9375,0.9196868322685398,0.6875
18,False,False,True,False,False,[5],False,3000,1.9375,0.9192143260622734,0.6875
19,False,False,True,False,True,[5],False,3000,1.9375,0.9192143260622734,0.6875
20,False,False,True,True,False,[5],False,3000,1.9375,0.9189798884274469,0.6875
21,False,False,True,True,True,[5],False,3000,1.9375,0.9189798884274469,0.6875
22,False,False,False,True,False,[5],False,2250,1.9375,0.5307298064557238,0.6875
23,False,False,False,True,True,[5],False,2250,1.9375,0.5307298064557238,0.6875
24,False,False,False,False,False,[5],False,2250,1.9375,0.5306819994361269,0.6875
25,False,False,False,False,True,[5],False,2250,1.9375,0.5306819994361269,0.6875
26,False,False,False,False,False,"[3, 4]",False,2250,1.9375,0.5218020615168468,0.75
27,False,False,False,False,True,"[3, 4]",False,2250,1.9375,0.5218020615168468,0.75
28,False,False,True,True,False,"[2, 3, 4]",False,2750,1.9375,0.49858609332811715,0.75
29,False,False,True,True,True,"[2, 3, 4]",False,2750,1.9375,0.49858609332811715,0.75
30,False,False,True,False,False,"[2, 3, 4]",False,2750,1.9375,0.4984632793335294,0.75
31,False,False,True,False,True,"[2, 3, 4]",False,2750,1.9375,0.4984632793335294,0.75
32,False,False,False,False,False,[3],False,2750,2.0,0.9301624909358087,0.6875
33,False,False,False,False,True,[3],False,2750,2.0,0.9301624909358087,0.6875
34,False,False,False,True,False,[3],False,2750,2.0,0.9299137927754333,0.6875
35,False,False,False,True,True,[3],False,2750,2.0,0.9299137927754333,0.6875
36,False,False,False,True,False,[5],False,2500,2.0,0.9294045888381075,0.6875
37,False,False,False,True,True,[5],False,2500,2.0,0.9294045888381075,0.6875
