Feature,Average Pointwise Mutual Information
s10,0.9789508140743113
Average Word Length,0.9789508140743113
Unique_Words/Total_Words,0.9789508140743113
Positive Sentiment,0.9789508140743113
Negative Sentiment,0.9789508140743113
<s>,0.9789508140743113
</s>,0.9789508140743113
it,0.9789503880732515
for,0.9789497502777137
florida,0.9789427100388545
because,0.9789427100388545
a,0.9789415664105987
americans,0.9789194035658112
democrats,0.9789194035658112
three,0.9789194035658112
law,0.9789194035658112
<s> <s> <s> <s> a,0.9789194035658112
any,0.9789194035658112
program,0.9789194035658112
pay,0.9788950883792871
by,0.9788431546131581
president,0.9788222063437534
been,0.9787778870482806
their,0.9787778870482806
over,0.9787592445108281
who,0.9787001293051345
united,0.9786037737911595
this,0.9785536415590748
as,0.978516431915331
list,0.9784118839975964
my,0.9784118839975964
not,0.9784118839975964
person,0.9784118839975964
rate,0.9784118839975964
billion,0.9784118839975964
almost,0.9784118839975964
year </s> </s> </s> </s>,0.9784118839975964
states,0.9784118839975964
know,0.9784118839975964
9,0.9784118839975964
rubio,0.9784118839975964
including,0.9784118839975964
failed,0.9784118839975964
ohio,0.9784118839975964
system,0.9784118839975964
helped,0.9784118839975964
creation,0.9784118839975964
prison,0.9784118839975964
found,0.9784118839975964
2013,0.9784118839975964
gun,0.9784118839975964
600,0.9784118839975964
officers,0.9784118839975964
majority,0.9784118839975964
2012,0.9784118839975964
<s> <s> <s> <s> gov,0.9784118839975964
special,0.9784118839975964
budgets,0.9784118839975964
close,0.9784118839975964
money,0.9784118839975964
government </s> </s> </s> </s>,0.9784118839975964
afghanistan,0.9784118839975964
benefits,0.9784118839975964
small,0.9784118839975964
kids,0.9784118839975964
<s> <s> <s> says that,0.9784118839975964
representatives,0.9784118839975964
four,0.9784118839975964
president </s> </s> </s> </s>,0.9784118839975964
background,0.9784118839975964
<s> <s> <s> says he,0.9784118839975964
wisconsins,0.9784118839975964
<s> <s> <s> says texas,0.9784118839975964
11,0.9784118839975964
labor,0.9784118839975964
<s> <s> <s> says president,0.9784118839975964
two,0.9782720384097885
he,0.9782720384097885
romney,0.9782720384097885
already,0.9782720384097885
children,0.9782720384097885
perry,0.9782720384097885
line,0.9782720384097885
ever,0.9782720384097885
having,0.9782720384097885
she,0.9782720384097885
social,0.9782720384097885
thats,0.9782720384097885
combined,0.9782720384097885
taxes </s> </s> </s> </s>,0.9782720384097885
and,0.9779181787838129
the,0.9776888668443363
when,0.9776801574524534
there,0.9776801574524534
have,0.9776595862527182
an,0.9774616001465259
security,0.9772427611098418
passed,0.9772427611098418
tax,0.9772427611098415
do,0.9771381046319044
other,0.9771381046319044
bill,0.9768716834771549
were,0.9765720864479528
new,0.9764449696706223
high,0.9764449696706222
to,0.9763267434512011
<s> <s> <s> <s> we,0.9761228442645308
obama,0.9761228442645308
give,0.9761228442645307
middle,0.9761228442645307
they,0.9760317497803971
years,0.9756781368426737
or,0.9753859369317208
s,0.9753859369317208
on,0.975283828954699
in,0.9745535802032534
legislation,0.9744652697854674
number,0.9744652697854674
oregon,0.9744652697854674
workers,0.9744652697854674
budget,0.9744652697854674
own,0.9744652697854674
<s> <s> <s> <s> president,0.9744652697854674
the country </s> </s> </s>,0.9744652697854674
2008,0.9744652697854674
cuts,0.9744652697854674
presidents,0.9744652697854674
taxpayers,0.9744652697854674
washington,0.9744652697854674
7,0.9744652697854674
then,0.9744652697854674
it </s> </s> </s> </s>,0.9739981458169491
world </s> </s> </s> </s>,0.9739981458169491
40,0.9739981458169491
even,0.9739981458169491
being,0.9739981458169491
no,0.9739981458169491
could,0.9739981458169491
support,0.9739981458169491
about,0.9735797792174239
people,0.9730850947710572
during,0.9727701710237244
job,0.9727701710237244
was,0.9725522992181126
hillary,0.9721844588015535
nation,0.9721844588015535
3,0.9721844588015535
government,0.9713953959622955
only,0.9713605000803828
would,0.9713605000803828
families,0.9713605000803827
state,0.9713605000803827
paid,0.9713605000803827
county,0.9713605000803827
we,0.9712462466754037
year,0.9708659500289091
<s> <s> <s> <s> the,0.9707478550423045
<s> <s> <s> <s> on,0.9706766463626006
of,0.9706403970839853
says,0.9705529664624473
voted,0.9700211687701112
most,0.9694222142771511
public,0.9694222142771511
clinton,0.9692052848928326
john,0.9692052848928326
first,0.9692052848928326
house,0.9692052848928326
<s> <s> <s> <s> says,0.9689322525907489
up,0.9683726557078263
country,0.9683726557078263
has,0.968123046009017
cut,0.9676599833201506
america,0.9676599833201506
but,0.9665068354079831
now,0.9654766463710778
at,0.9640856378049321
you,0.9634363042419021
is,0.9590472314640475
