Feature,Mutual Information
annies,2.59040393421017
group,2.59040393421017
trimester,2.59040393421017
<s> says annies,2.59040393421017
says annies list,2.59040393421017
annies list political,2.59040393421017
list political group,2.59040393421017
political group supports,2.59040393421017
group supports third,2.59040393421017
supports third trimester,2.59040393421017
third trimester abortions,2.59040393421017
trimester abortions demand,2.59040393421017
abortions demand .,2.59040393421017
demand . </s>,2.59040393421017
surgeries,2.59040393421017
<s> <s> health,2.59040393421017
<s> health care,2.59040393421017
care reform legislation,2.59040393421017
reform legislation likely,2.59040393421017
legislation likely mandate,2.59040393421017
likely mandate free,2.59040393421017
mandate free sex,2.59040393421017
free sex change,2.59040393421017
sex change surgeries,2.59040393421017
change surgeries .,2.59040393421017
surgeries . </s>,2.59040393421017
dunnam,2.59040393421017
not_lived,2.59040393421017
not_district,2.59040393421017
not_represents,2.59040393421017
<s> <s> jim,2.59040393421017
<s> jim dunnam,2.59040393421017
jim dunnam not,2.59040393421017
dunnam not not_lived,2.59040393421017
not not_lived not_district,2.59040393421017
not_lived not_district not_represents,2.59040393421017
not_district not_represents not_years,2.59040393421017
not_represents not_years not_now,2.59040393421017
not_years not_now .,2.59040393421017
slow,2.59040393421017
<s> mitt romney,2.59040393421017
mitt romney governor,2.59040393421017
romney governor massachusetts,2.59040393421017
governor massachusetts didnt,2.59040393421017
massachusetts didnt slow,2.59040393421017
didnt slow rate,2.59040393421017
slow rate growth,2.59040393421017
rate growth government,2.59040393421017
growth government actually,2.59040393421017
government actually cut,2.59040393421017
actually cut it,2.59040393421017
cut it .,2.59040393421017
sense,2.59040393421017
waived,2.59040393421017
otherwise,2.59040393421017
suspended,2.59040393421017
care act already,2.59040393421017
act already sense,2.59040393421017
already sense waived,2.59040393421017
sense waived otherwise,2.59040393421017
waived otherwise suspended,2.59040393421017
otherwise suspended .,2.59040393421017
suspended . </s>,2.59040393421017
wis,2.59040393421017
fellow,2.59040393421017
spree,2.59040393421017
card,2.59040393421017
maxed,2.59040393421017
rep . ron,2.59040393421017
. ron kind,2.59040393421017
ron kind d,2.59040393421017
kind d wis,2.59040393421017
d wis .,2.59040393421017
wis . fellow,2.59040393421017
. fellow democrats,2.59040393421017
fellow democrats went,2.59040393421017
democrats went spending,2.59040393421017
went spending spree,2.59040393421017
spending spree credit,2.59040393421017
spree credit card,2.59040393421017
credit card maxed,2.59040393421017
card maxed </s>,2.59040393421017
maxed </s> </s>,2.59040393421017
adjust,2.59040393421017
<s> women men,2.59040393421017
women men making,2.59040393421017
men making less,2.59040393421017
making less adjust,2.59040393421017
less adjust inflation,2.59040393421017
adjust inflation john,2.59040393421017
inflation john kitzhaber,2.59040393421017
john kitzhaber first,2.59040393421017
kitzhaber first elected,2.59040393421017
first elected governor,2.59040393421017
elected governor .,2.59040393421017
mitt romney wants,2.59040393421017
romney wants get,2.59040393421017
wants get rid,2.59040393421017
get rid planned,2.59040393421017
rid planned parenthood,2.59040393421017
planned parenthood .,2.59040393421017
parenthood . </s>,2.59040393421017
jonathan,2.59040393421017
gruber,2.59040393421017
<s> <s> dont,2.59040393421017
<s> dont know,2.59040393421017
dont know jonathan,2.59040393421017
know jonathan gruber,2.59040393421017
jonathan gruber is,2.59040393421017
gruber is .,2.59040393421017
is . </s>,2.59040393421017
supporter,2.59040393421017
tweeted,2.59040393421017
a,2.59040393421017
m,2.59040393421017
shooting,2.59040393421017
chattanooga,2.59040393421017
tenn,2.59040393421017
<s> <s> isis,2.59040393421017
<s> isis supporter,2.59040393421017
isis supporter tweeted,2.59040393421017
supporter tweeted 10,2.59040393421017
tweeted 10 34,2.59040393421017
10 34 a,2.59040393421017
34 a .,2.59040393421017
a . m,2.59040393421017
. m .,2.59040393421017
m . shooting,2.59040393421017
. shooting began,2.59040393421017
shooting began 10,2.59040393421017
began 10 45,2.59040393421017
10 45 a,2.59040393421017
45 a .,2.59040393421017
m . chattanooga,2.59040393421017
. chattanooga tenn,2.59040393421017
chattanooga tenn .,2.59040393421017
tenn . </s>,2.59040393421017
look,2.59040393421017
constantly,2.59040393421017
not_deficits,2.59040393421017
not_business,2.59040393421017
not_climates,2.59040393421017
<s> <s> look,2.59040393421017
<s> look states,2.59040393421017
look states right,2.59040393421017
states right work,2.59040393421017
right work constantly,2.59040393421017
work constantly not,2.59040393421017
constantly not not_budget,2.59040393421017
not not_budget not_deficits,2.59040393421017
not_budget not_deficits not_good,2.59040393421017
not_deficits not_good not_business,2.59040393421017
not_good not_business not_climates,2.59040393421017
not_business not_climates .,2.59040393421017
not_climates . </s>,2.59040393421017
not_even,2.59040393421017
not_burn,2.59040393421017
not_coal,2.59040393421017
not_limitedly,2.59040393421017
not_existing,2.59040393421017
not_plants,2.59040393421017
<s> obama administration,2.59040393421017
obama administration going,2.59040393421017
