Feature,Pointwise Mutual Information
decline,1.5104744194221706
coal,1.5104744194221706
started,1.5104744194221706
natural,1.5104744194221706
gas,1.5104744194221706
begin,1.5104744194221706
w,1.5104744194221706
bushs,1.5104744194221706
<s> <s> decline,1.5104744194221706
<s> decline coal,1.5104744194221706
decline coal start,1.5104744194221706
coal start ?,1.5104744194221706
start ? started,1.5104744194221706
? started natural,1.5104744194221706
started natural gas,1.5104744194221706
natural gas took,1.5104744194221706
gas took started,1.5104744194221706
took started begin,1.5104744194221706
started begin president,1.5104744194221706
begin president george,1.5104744194221706
president george w,1.5104744194221706
george w .,1.5104744194221706
w . bushs,1.5104744194221706
. bushs administration,1.5104744194221706
bushs administration .,1.5104744194221706
administration . </s>,1.5104744194221706
agrees,1.5104744194221706
voting,1.5104744194221706
benefit,1.5104744194221706
doubt,1.5104744194221706
<s> hillary clinton agrees,1.5104744194221706
hillary clinton agrees john mccain,1.5104744194221706
agrees john mccain voting,1.5104744194221706
john mccain voting give,1.5104744194221706
voting give george bush,1.5104744194221706
give george bush benefit,1.5104744194221706
george bush benefit doubt,1.5104744194221706
benefit doubt iran,1.5104744194221706
doubt iran .,1.5104744194221706
economic,1.5104744194221706
<s> <s> economic,1.5104744194221706
<s> economic turnaround,1.5104744194221706
economic turnaround started,1.5104744194221706
turnaround started end,1.5104744194221706
started end term,1.5104744194221706
end term .,1.5104744194221706
chicago,1.5104744194221706
bears,1.5104744194221706
quarterbacks,1.5104744194221706
tenured,1.5104744194221706
uw,1.5104744194221706
faculty,1.5104744194221706
fired,1.5104744194221706
decades,1.5104744194221706
<s> <s> chicago,1.5104744194221706
<s> chicago bears,1.5104744194221706
chicago bears starting,1.5104744194221706
bears starting quarterbacks,1.5104744194221706
starting quarterbacks last,1.5104744194221706
quarterbacks last 10,1.5104744194221706
10 years total,1.5104744194221706
years total number,1.5104744194221706
total number tenured,1.5104744194221706
number tenured uw,1.5104744194221706
tenured uw faculty,1.5104744194221706
